No,Nama Menu,Kategori,Kalori (kcal),Sumber Karbohidrat,Bahan Utama / Pendamping,Deskripsi Singkat,kalori_normalized,corpus
112,dori sambal matah,ikan,390,kentang ubi nasi merah nasi putih,steamed vege,ikan dori sambal matah segar sayuran kukus,0.33333333333333215,dori sambal matah ikan kentang ubi nasi merah nasi putih steamed vege ikan dori sambal matah segar sayuran kukus
113,gulai ikan,ikan,400,kentang nasi merah nasi putih,steamed vege tempe,gulai ikan tanpa santan sayur kukus lauk tempe,1.0,gulai ikan ikan kentang nasi merah nasi putih steamed vege tempe gulai ikan tanpa santan sayur kukus lauk tempe
114,chicken ball crispy,ayam,395,jagung ubi nasi merah nasi putih,salad sayur,bola ayam renyah disajikan dengan salad sayur,0.6666666666666643,chicken ball crispy ayam jagung ubi nasi merah nasi putih salad sayur bola ayam renyah disajikan dengan salad sayur
115,soto bandung,sapi,395,kentang nasi merah nasi putih,steamed vege boiled egg,soto daging kuah bening lobak lauk telur rebus,0.6666666666666643,soto bandung sapi kentang nasi merah nasi putih steamed vege boiled egg soto daging kuah bening lobak lauk telur rebus
116,sempol ayam grill,ayam,390,jagung ubi nasi merah nasi putih,steamed vege,sempol ayam panggang rendah minyak sayur kukus,0.33333333333333215,sempol ayam grill ayam jagung ubi nasi merah nasi putih steamed vege sempol ayam panggang rendah minyak sayur kukus
117,sapi cabe garam,sapi,400,kentang nasi merah nasi putih,tumis sayur tofu,daging sapi tumis cabe garam lauk tahu tumis sayur,1.0,sapi cabe garam sapi kentang nasi merah nasi putih tumis sayur tofu daging sapi tumis cabe garam lauk tahu tumis sayur
118,tumis ayam brokoli,ayam,390,jagung nasi merah nasi putih,snack,tumis ayam dan brokoli menu sehat klasik,0.33333333333333215,tumis ayam brokoli ayam jagung nasi merah nasi putih snack tumis ayam dan brokoli menu sehat klasik
119,soto ayam kuning,ayam,400,kentang nasi merah nasi putih,steamed vege boiled egg,soto ayam bumbu kuning tanpa santan lauk telur,1.0,soto ayam kuning ayam kentang nasi merah nasi putih steamed vege boiled egg soto ayam bumbu kuning tanpa santan lauk telur
120,dori oat saus wijen,ikan,400,jagung ubi nasi merah nasi putih,steamed vege snack,ikan dori balut oat saus wijen gurih sayur kukus,1.0,dori oat saus wijen ikan jagung ubi nasi merah nasi putih steamed vege snack ikan dori balut oat saus wijen gurih sayur kukus
121,ikan cabe ijo,ikan,400,jagung nasi merah nasi putih,tumis sayur tofu,ikan bumbu cabe ijo tumis sayur lauk tahu,1.0,ikan cabe ijo ikan jagung nasi merah nasi putih tumis sayur tofu ikan bumbu cabe ijo tumis sayur lauk tahu
122,ayam bakar padang,ayam,400,kentang ubi nasi merah nasi putih,steamed vege tempe,ayam bakar bumbu padang tanpa santan lauk tempe,1.0,ayam bakar padang ayam kentang ubi nasi merah nasi putih steamed vege tempe ayam bakar bumbu padang tanpa santan lauk tempe
123,rawon surabaya,sapi,400,kentang nasi merah nasi putih,steamed vege boiled egg,daging rawon kuah rempah sayur kukus lauk telur,1.0,rawon surabaya sapi kentang nasi merah nasi putih steamed vege boiled egg daging rawon kuah rempah sayur kukus lauk telur
124,chicken ball crispy,ayam,395,jagung ubi nasi merah nasi putih,salad sayur,bola ayam renyah disajikan dengan salad segar,0.6666666666666643,chicken ball crispy ayam jagung ubi nasi merah nasi putih salad sayur bola ayam renyah disajikan dengan salad segar
125,chicken teriyaki grill,ayam,400,kentang nasi merah nasi putih,tumis sayur snack,ayam panggang teriyaki tumis sayuran,1.0,chicken teriyaki grill ayam kentang nasi merah nasi putih tumis sayur snack ayam panggang teriyaki tumis sayuran
126,pangsit ayam kuah,ayam,395,kentang nasi merah nasi putih,baso ayam steamed vege,pangsit ayam rebus kuah kaldu bakso ayam,0.6666666666666643,pangsit ayam kuah ayam kentang nasi merah nasi putih baso ayam steamed vege pangsit ayam rebus kuah kaldu bakso ayam
D,soto betawi tanpa santan,sapi,400,kentang nasi merah nasi putih,steamed vege boiled egg,soto betawi kuah bening tanpa santan lauk telur,1.0,soto betawi tanpa santan sapi kentang nasi merah nasi putih steamed vege boiled egg soto betawi kuah bening tanpa santan lauk telur
128,ayam serundeng sambal korek,ayam,400,jagung nasi merah nasi putih,tumis sayur tempe,ayam serundeng sambal korek pedas lauk tempe,1.0,ayam serundeng sambal korek ayam jagung nasi merah nasi putih tumis sayur tempe ayam serundeng sambal korek pedas lauk tempe
129,dori chips saus asam manis,ikan,400,kentang nasi merah nasi putih,tumis sayur tofu,keping dori renyah saus asam manis tumis sayur,1.0,dori chips saus asam manis ikan kentang nasi merah nasi putih tumis sayur tofu keping dori renyah saus asam manis tumis sayur
130,chicken blackpepper egg tortila,ayam,395,jagung ubi nasi merah nasi putih,salad sayur,ayam lada hitam disajikan dengan tortila telur,0.6666666666666643,chicken blackpepper egg tortila ayam jagung ubi nasi merah nasi putih salad sayur ayam lada hitam disajikan dengan tortila telur
131,beef bulgogi,sapi,400,jagung nasi merah nasi putih,tepanyaki tofu,daging sapi bulgogi sayur tepanyaki lauk tahu,1.0,beef bulgogi sapi jagung nasi merah nasi putih tepanyaki tofu daging sapi bulgogi sayur tepanyaki lauk tahu
132,chicken karage saus korea,ayam,395,kentang ubi nasi merah nasi putih,steamed vege snack,karage ayam panggang saus korea pedas manis,0.6666666666666643,chicken karage saus korea ayam kentang ubi nasi merah nasi putih steamed vege snack karage ayam panggang saus korea pedas manis
133,chicken sandwich,ayam,395,jagung nasi merah nasi putih,salad sayur sunny egg,sandwich ayam tanpa roti salad lauk telur,0.6666666666666643,chicken sandwich ayam jagung nasi merah nasi putih salad sayur sunny egg sandwich ayam tanpa roti salad lauk telur
